Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1922,The Toll of the Sea,American,Chester M. Franklin,"Anna May Wong, Kenneth Harlan",unknown,https://en.wikipedia.org/wiki/The_Toll_of_the_Sea,"When young Chinese woman Lotus Flower sees an unconscious man floating in the water at the seashore, she quickly gets help for him. The man is Allen Carver, an American. Soon the two have fallen in love, and they get married ""Chinese fashion"". Carver promises to take her with him when he returns home. Lotus Flower's friends warn her that he will leave without her, and one states she has been forgotten by four American husbands, but she does not believe them. However, Carver's friends discourage him from fulfilling his promise, and he returns to the United States alone.
Lotus Flower has a young son, whom she names Allen after his father. When the older Allen finally returns to China, Lotus Flower is at first overjoyed. She dresses in her elaborate Chinese bridal gown to greet him. However, he is accompanied by his American wife, Elsie. Allen has told Elsie about Lotus Flower, and it is Elsie who persuaded her husband to tell Lotus Flower the real situation. When the boy is brought to see his father, Lotus Flower pretends he is the child of her American neighbors. Later, though, she confides the truth to Elsie and asks her to take the boy to America. She tells the child that Elsie is his real mother. After Elsie takes the boy away with her, Lotus Flower says, ""Oh, Sea, now that life has been emptied I come to pay my great debt to you."" The sun is then shown setting over the water, and it is implied that Lotus Flower drowns herself."
1922,Trifling Women,American,Rex Ingram,"Barbara La Marr, Ramon Novarro",drama,https://en.wikipedia.org/wiki/Trifling_Women,"Leon de Severac is fed up with his daughter Jacqueline, who is constantly seducing men. Hoping to discourage her from her flirtatious behavior, he tells her the story of Zareda, an attractive fortune teller who is having an affair with Ivan de Maupin. Ivan's father, the Baron, lusts after her as well and Ivan eventually grows convinced that Zareda is cheating on him. Giving her up, he leaves for war shortly after. A short period later, Zareda finds out the Baron is about to poison Marquis Ferroni. Trying to save the marquis, she switches the wine glasses and the Baron dies instead.
The marquis, a powerful millionaire, is very grateful to Zareda and they soon marry. For a short period of time, Zareda is a happy woman, until the return of Ivan. Jealous, Ivan makes sure he is not giving the marquis any rest. It eventually leads to a duel, where the marquis is mortally wounded. As he is about to die, he notices his wife embracing Ivan. Realizing she is using her body to get what she wants, he uses his last seconds alive to kill them both.[3]
The movie director, Michael Powell, described the film as: ""Moonlight on tiger skins and blood dripping onto white faces, while sinister apes, poison and lust kept the plot rolling.""[1]:41"
1922,Up and at 'Em,American,William A. Seiter,"Doris May, Hallam Cooley",romantic comedy,https://en.wikipedia.org/wiki/Up_and_at_%27Em_(film),"Wishing to drive her father's car, Barbara Jackson (Doris May) dresses up in the chauffeur's uniform and sneaks out. For a lark, she picks up a passenger (John Gough), but it develops that passenger is part of a team of crooks who are planning to rob Bob Everett (Hallam Cooley), a rival of her father, of his precious artworks. Believing her to be an undercover detective, the bandit forces her to take part in the robbery and then abandons her to be caught by Everett. After convincing Everett that she was a forced accomplice and not the real thief, the two hurry to meet up with Barbara's father, William Jackson (Otis Harlan). He had just purchased one of the paintings from an art dealer (Harry Carter), and the dealer had left moments before Barbara and Everett arrive. As the two explain the deception, William informs him that he became suspicious when recognizing the painting as one owned by Everett and that he had the dealer held at the front gate. The police arrive and round up the crooks."
1922,When Knighthood Was in Flower,American,Robert G. Vignola,"Marion Davies, Forrest Stanley",romance drama,https://en.wikipedia.org/wiki/When_Knighthood_Was_in_Flower_(1922_film),"Mary Tudor, Queen of France (Marion Davies), the younger sister of King Henry VIII (Lyn Harding), falls in love with commoner Charles Brandon, 1st Duke of Suffolk (Forrest Stanley). There are other plans for Mary, however; she is supposed to make a politically strategic marriage to the elderly King Louis XII of France (William Norris). Brandon is framed for murder, but Mary, disguised as a boy, helps him to escape. Henry tracks down his sister and her lover at a Bristol Inn, and Mary agrees to wed the French king if Brandon's life is spared. After Brandon is exiled, Mary goes ahead with the wedding, but King Louis, in his attempt to prove he is lively enough for such a pretty young bride, drops dead. His nephew and heir to the throne, Francis (William Powell), wants to wed Mary, but Brandon comes to the rescue. When Henry discovers that his sister and Brandon have married, he remarks, ""I should have consented in the first place, and saved us all this trouble."""
1922,Wildness of Youth,American,Ivan Abramson,"Virginia Pearson, Harry T. Morey",drama,https://en.wikipedia.org/wiki/Wildness_of_Youth,"Spoiled son Andrew Kane (Joseph Striker) competes with James Surbrun (Harry T. Morey) for the affections of wild child Julie Grayton (Mary Anderson). Kane is convicted of murdering Surbrun, but later exonerated.[1]"
1922,The Woman He Married,American,Fred Niblo,"Anita Stewart, Darrell Foss",drama,https://en.wikipedia.org/wiki/The_Woman_He_Married,"As reviewed in a film magazine,[3] a rich man's son marries an artist's model, and is then disinherited by his father. Despite their circumstances, both the son and his model wife do well."
1922,The Young Rajah,American,Phil Rosen,"Rudolph Valentino, Fanny Midgley",adventure,https://en.wikipedia.org/wiki/The_Young_Rajah,"After fifteen years, Joshua Judd (Charles Ogle) tells his adopted son, Amos (Valentino), that his real father was an Indian maharajah overthrown by Ali Khan (Bertram Grassby). Amos, then a young boy (played by an uncredited Pat Moore), was rescued by General Devi Das Gadi (George Periolat) and taken to America for his safety. (Joshua's merchant brother had been a trusted friend of the late maharajah.)
Amos attends Harvard University. There he incurs the hatred of Austin Slade, Jr. (Jack Giddings), whom he beats out for a spot on the rowing team. At a party celebrating a rowing victory over arch-rival Yale, a jealous Slade calls Amos ""yellow"" and pours a drink on him, causing Amos to punch him. Slade grabs a chair as a weapon, but Amos ducks, and Slade falls through an open window to his death. Amos is cleared of all wrongdoing, but the newspaper story attracts the notice of Amhad Beg (J. Farrell MacDonald), Ali Khan's Prime Minister.
That summer, at a party hosted by close friend Stephen Van Kovert (William Boyd), Amos becomes attracted to one of the other guests, Molly Cabot (Wanda Hawley). By chance, Molly and her family decide to vacation in Amos's hometown. As they become better acquainted, Amos overcomes Molly's initial dislike of him. However, Molly tells her father (Edward Jobson) that she cannot marry someone who is not one of her ""own people"", however much she loves him. Instead, she agrees to marry longtime suitor Horace Bennett (Robert Ober), who had been a good friend of Slade's. Bennett tells Amos to stay away from his future wife, but when he also calls Amos a murderer, Amos chokes him into apologizing. As he leaves, Amos is struck in the head by a rock thrown by Bennett. Seeing this, Molly rushes to Amos's side and breaks off her engagement to Bennett.
The happy couple decide on an early wedding, but Amos has a vision showing him being murdered the day before. He has had visions before; all came true, even if he tried to prevent them. His family is supposedly descended from Prince Arjuna; the god Krishna granted Arjuna and all his descendants the gift of prophesy. When he reveals this to his future father-in-law (who has already witnessed the accuracy of Amos's visions), the latter suggests he lock himself away in the sanatorium of a friend for the day.
Amos does so, but Amhad Beg and his men find and kidnap him. Just as they are about to kill him, Amos is rescued by the mystic Narada (Josef Swickard), who also can see into the future, and his followers. Narada convinces him to forgo his own happiness and return to India to overthrow the tyrant. When Amos is welcomed by his people and the army revolts, Ali Khan commits suicide. The new Maharajah of Dharmagar takes comfort in his latest vision, which shows his wedding to Molly."
1923,Ambrose Applejohn's Adventure,American,Fred Niblo,"Matt Moore, Enid Bennett",drama,https://en.wikipedia.org/wiki/Ambrose_Applejohn%27s_Adventure,"Ambrose Applejohn is bored with his life in Cornwall, where he lives with his ward, Poppy Faire. He decides to sell his country estate so he can find excitement elsewhere. Several strangers appear at his door, all claiming reasons to be there that have nothing to do with the sale. One woman says she is a Russian dancer trying to defect, and a man claims to be looking for her. A couple says their car has broken down. Applejohn assumes they are all really prospective buyers investigating his home.
That night Applejohn dreams he is a pirate, Captain Applejack. His visitors appear in the dream as his adversaries. The next day, he discovers that the visitors are thieves hunting for a treasure map hidden in the house. Applejohn and Faire overcome the criminals, and he decides that life in Cornwall is exciting enough after all."
1923,Ashes of Vengeance,American,Frank Lloyd,"Norma Talmadge, Conway Tearle, Wallace Beery",drama,https://en.wikipedia.org/wiki/Ashes_of_Vengeance,"At the ball celebrating the wedding of Henry of Navarre on August 23, 1572, the evil Queen Mother Catherine de' Medici (Josephine Crowell) persuades her son King Charles IX to sign a decree to exterminate the Huguenots. Meanwhile, at that same ball the Comte de la Roche (Courtenay Foote) puts the moves on Margot de Vaincoire (Betty Francisco), fiancée of Rupert de Vrieac (Conway Tearle). The de la Roches and de Vrieacs have been enemies for years and Rupert challenges the Comte to a duel. In their duel Rupert wins, but spares the Comte’s life so he will be obligated to him. Rupert and Margot are Huguenots while the Comte is a Catholic of the Queen Mother’s party. The Comte is sent to kill Rupert, but instead takes him to Margot’s house, which he has put under guard so the mob can’t attack it. There the Comte says he will arrange to spare them both if Rupert will agree to become his servant for five years. At the pleading of Margot, Rupert agrees. The Comte takes Rupert to his castle where his two sisters Yoeland (Norma Talmadge) and the crippled Anne (Jeanne Carpenter) live. Yoeland despises him when she finds out who Rupert is. However, when a captured wolf escapes, threatening her and Anne, yet Rupert defeats it with his bare hands her attitude starts to soften. Yoeland goes to see her cousin Denise, who is being forced by her uncle Louis de la Roches into an arranged marriage with the Duc de Tours. Yoeland takes Rupert as her escort. However Denise loves Phillipe de Vois, who is a poor nobleman. Then Anton, Rupert’s servant brings word that Margot de Vaincoire has married someone else. The Duc of Tours (Wallace Beery) arrives for his wedding. Denise’s father is called to Paris, leaving the Duc in charge of his castle. The Duc is revealed as a drunken brute, terrorizing the serfs and trying to seduce both Yoeland and a servant girl, killing her guardsman lover. The castle guards determine to avenge their dead comrade, so Yoeland directs Rupert to protect the Duc since he is her uncle’s guest. Rupert and few men battle the castle guard. Father Paul, Denise’s confessor escapes and brings back Phillipe de Vois and his men to save them. During the fight Yoeland realizes she loves Rupert. However, when she finds a lock of blonde hair in his doublet, while nursing the wounded Rupert back to health she thinks Rupert still loves Margot. Yoeland stops the Duc from torturing the dead guardsman’s brother and lover who instigated the attack on him. Phillipe de Vois and Denise elope, which the Duc allows to happen, as he intends to threaten Rupert with blinding with a hot poker to force Yoeland to marry him. She agrees but the guardsmen save them. Rupert and the Duc duel, but the Duc is stabbed in the back by the lover of the guardsman he killed. At Yoeland’s request her brother releases Rupert from his oath and after Yoeland learns the blonde hair was from Anne’s doll that she gave to Rupert as a token, Yoeland and Rupert become engaged."
1923,The Balloonatic,American,Buster Keaton,Buster Keaton,comedy,https://en.wikipedia.org/wiki/The_Balloonatic,"A young man (Keaton) has a series of encounters in an amusement area, much like Coney Island, until happening upon a group of men preparing a hot air balloon for launch. The young man assists the group by climbing atop the balloon to affix a pennant, when the balloon mistakenly takes flight with no one aboard but the young man. The young man finally downs the balloon in a wilderness area, where he encounters a young outdoorswoman and proceeds to have a series of misadventures."
1923,Black Oxen,American,Frank Lloyd,"Corinne Griffith, Conway Tearle",drama,https://en.wikipedia.org/wiki/Black_Oxen,"Lee Clavering (Tearle), a playwright in New York, falls in love with an Austrian countess, Madame Zatianny (Griffith). Janet Oglethorpe (Bow), an animated and precocious flapper, is also in love with Lee but he hasn't noticed yet. Unbeknownst to Lee, Madame Zatianny is actually 58 years old, and has retained her youth through a rejuvenating glandular treatment and X-ray surgery. Lee's plans to marry Madame Zatianny are thwarted when one of her former admirers reveals her embarrassing secret and, in the end, Lee discovers happiness with Janet."
1923,The Call of the Canyon,American,Victor Fleming,"Richard Dix, Lois Wilson",western,https://en.wikipedia.org/wiki/The_Call_of_the_Canyon,"Glenn Kilbourne (Richard Dix) returns from the war and travels to Arizona to regain his health. There he is nursed back to health by an Arizona girl, Flo Hutter (Marjorie Daw). Kilbourne's fiancée, Carley Burch (Lois Wilson), arrives in Arizona but soon becomes disillusioned with life in the West and returns to New York. Sometime later, Flo is seriously injured in an accident. Wanting to repay her for restoring him back to health, Glenn asks her to marry him. On their wedding day, Carley returns to Arizona from New York looking for Glenn. When Flo sees that Glenn and Carley are still in love, she calls off her wedding to Glenn and marries another admirer, Lee Stanton (Leonard Clapham)."
1923,The Country Kid,American,William Beaudine,"Wesley Barry, Spec O'Donnell, Bruce Guerin",comedy drama,https://en.wikipedia.org/wiki/The_Country_Kid,"Orphaned Ben Applegate (Barry) strives to care for his younger brothers (O'Donnell and Guerin) and run the farm left to them. Their unscrupulous legal guardian, Uncle Grimes (George Nichols) schemes to take their property and separate the brothers, but he is ultimately thwarted by a benevolent judge (George C. Pearce). The Applegates are reunited, their property restored, and they are adopted by caring neighbors."
1923,The Daring Years,American,Kenneth Webb,"Mildred Harris, Charles Emmett Mack and Clara Bow",melodrama,https://en.wikipedia.org/wiki/The_Daring_Years,"A university student named John Browning (Charles Emmett Mack) goes against his mother's wishes and becomes involved in a torrid love-affair with a fickle young cabaret singer named Susie LaMotte (Mildred Harris). LaMotte toys with the youth's affections and does not tell him that she is already romantically involved with a boxer named Jim Moran (Joe King).
One evening John Browning discovers that Susie and Moran are having a relationship when he accidentally walks in on them. Outraged, Browning and Moran become embroiled in an argument. Moran pulls out a pistol, but during the ensuing struggle accidentally mortally wounds himself. Overcome with rage, Susie blames John Browning for Moran's death and Browning is subsequently tried, convicted and sentenced to death.
Browning languishes in prison for some time, and just as he is strapped into the electric chair to be executed for the murder of Jim Moran, a bolt of lightning strikes the prison knocking out the power. Meanwhile, Moran's widow (Clara Bow) implores Susie to tell the authorities the truth surrounding the circumstances of the death of Jim Moran. Susie eventually folds and confesses that she had lied and that Jim Moran had in fact accidentally shot himself after pulling a gun on John Browning.
John is pardoned by the governor and leaves prison a free man."
1923,The Extra Girl,American,F. Richard Jones,Mabel Normand,comedy,https://en.wikipedia.org/wiki/The_Extra_Girl,"Sue Graham (Normand) is a small town girl who travels to Hollywood to escape marriage, and in the hope of becoming a motion picture star. She wins a contract with a studio on the strength of a picture of a quite different (and very attractive) girl sent instead of hers; but when she arrives the mistake is discovered. Since the error was the result of another’s deception, the studio manager agrees to give her a job in the costume department. She eventually gets the opportunity to screen test, but it turns out disastrously – although in a nod to the actress behind the character the director calls her ""a natural comedian."" Sue's parents come out to California, and invest money with a shifty individual who swindles them out of their life savings. Sue and childhood friend Dave, who has also followed her, retrieve the money. Despite the unsuccessful film career, all turns out well."
1923,Gentle Julia,American,Rowland V. Lee,"Bessie Love, Harold Goodwin",romance,https://en.wikipedia.org/wiki/Gentle_Julia_(1923_film),"Julia (Bessie Love) is a ""small-town heartbreaker""[2] who falls for an older man (Charles K. French).[3] When he takes her back to his home in Chicago, she finds out he is married. She leaves him, returning to neighbor Noble Dill (Harold Goodwin).[4]"
1923,The Hunchback of Notre Dame,American,Wallace Worsley,"Lon Chaney, Patsy Ruth Miller, Norman Kerry",drama,https://en.wikipedia.org/wiki/The_Hunchback_of_Notre_Dame_(1923_film),"The story is set in Paris in 1482. Quasimodo is a deaf, half-blind, hunchbacked bell-ringer of the famous Cathedral of Notre Dame in Paris. His master Jehan, the evil brother of Notre Dame's saintly archdeacon Don Claudio, prevails upon the hunchback to kidnap the fair Esmeralda, a dancing gypsy girl (and the adopted daughter of Clopin, the king of the oppressed beggars of Paris' underworld). The dashing Captain Phoebus rescues Esmeralda from Quasimodo, while Jehan abandons him and flees (later in the film, Quasimodo begins to hate Jehan because of this). At first seeking a casual romance, Phoebus becomes entranced by Esmeralda, and takes her under his wing. Quasimodo is sentenced to be lashed in the public square before Esmeralda and Don Claudio come to his aid.
To their dismay, Jehan and Clopin learn that Phoebus hopes to marry Esmeralda, despite being engaged to Fleur de Lys. Phoebus persuades Esmeralda to accompany him to a ball celebrating his appointment as Captain of the Guard by King Louis XI. He provides her with rich garments and introduces her to their hostess, Madame de Gondelaurier, as a Princess of Egypt. Clopin, accompanied by his beggars, crashes the festivities and demands Esmeralda be returned. To avoid bloodshed, Esmeralda says that she does not belong with the aristocracy. Later, however, Esmeralda sends the street poet Pierre Gringoire to give Phoebus a note, arranging a rendezvous at Notre Dame to say goodbye to him. Before Phoebus arrives, he is stabbed in the back by Jehan. After Esmeralda is falsely sentenced to death for the crime, she is rescued from the gallows by Quasimodo and carried inside the cathedral, where he and Don Claudio grant her sanctuary.
Later that night, Clopin leads the whole of the underworld to storm the cathedral, and Jehan attempts to take Esmeralda, first by guile (telling her that Phoebus's dying wish was for him to take care of her), then by force. Quasimodo holds off the invaders with rocks and torrents of molten lead. Meanwhile, the healed Phoebus is alerted by Gringoire and leads his men against the rabble. When Quasimodo finds Jehan attacking Esmeralda, he throws his former master off the ramparts of Notre Dame, but not before being fatally stabbed in the back. Phoebus finds and embraces Esmeralda. Witnessing this, Quasimodo rings his own death toll, and Gringoire and Don Claudio enter the bell tower just in time to see him die. The last image is of the great bell swinging silently above the hunchback's corpse."
1923,Merry-Go-Round,American,Erich von Stroheim,"Norman Kerry, Mary Philbin",drama,https://en.wikipedia.org/wiki/Merry-Go-Round_(1923_film),"A nobleman, posing as a necktie salesman, falls in love with the daughter of a circus puppeteer, even though he is already married to the daughter of his country's war minister."
1923,Our Hospitality,American,"John G. Blystone, Buster Keaton",Buster Keaton,comedy,https://en.wikipedia.org/wiki/Our_Hospitality,"The Canfield and McKay families have been feuding for so long, no one remembers the reason the feud started in the first place. One stormy night in 1810, family patriarch John McKay (Edward Coxen) and his rival James Canfield (Tom London) kill each other. After the tragic death of her husband, John's wife decides her son Willie (the infant Buster Keaton Jr.) will not suffer the same fate. She moves to New York to live with her sister, who after the mother's death raises him without telling him of the feud.
Twenty years later, Willie (Buster Keaton Sr.) receives a letter informing him that his father's estate is now his. His aunt tells him of the feud, but he decides to return to his Southern birthplace anyway to claim his inheritance. On the train ride, he meets a girl, Virginia (played by Keaton's wife Natalie Talmadge). They are shy to each other at first, but become acquainted during many train mishaps. At their destination, she is greeted by her father (Joe Roberts) and two brothers (Ralph Bushman and Craig Ward); she, it turns out, is a Canfield. Willie innocently asks one of the brothers where the McKay estate is. The brother offers to show him the way, but stops at every shop in search of a pistol to shoot the unsuspecting Willie. By the time he obtains one, Willie has wandered off. Willie is very disappointed to discover the McKay ""estate"" is a rundown home, not the stately mansion he had imagined. Later, however, he encounters Virginia, who invites him to supper.
When he arrives, the brothers want to shoot him, but the father refuses to allow it while he is a guest in their mansion. The father refers to this as ""our hospitality"". When Willie overhears a conversation between the brothers, he finally realizes his grave predicament. A parson comes to supper as well. Afterward, the parson prepares to leave, but he finds it is raining furiously. The Canfield patriarch insists the parson stay the night. McKay invites himself to do the same.
The next morning, McKay stays inside the house, while the Canfield men wait for his departure. The father catches McKay kissing his daughter. McKay finally manages to leave safely by putting on a woman's dress. However, a chase ensues. He eventually starts down a steep cliff side, but is unable to find a way to the bottom. One Canfield lowers a rope (so he can get a better shot) to which Willie ties himself, but the Canfield falls into the water far below, dragging Willie along. Finally, Willie manages to steal the train locomotive and tender, but the tender derails, dumping him into the river towards the rapids. Virginia spots him and goes after him in a rowboat; she falls into the water and is swept over the edge of the large waterfall. McKay swings trapeze-like on a rope, catching her hands in mid-fall and depositing her safely on a ledge.
When it grows dark, the Canfield men decide to continue their murderous search the next day. Returning home, they see Willie and Virginia embracing; Joseph Canfield furiously rushes into the room, gun in hand. He is brought up short by the parson, who asks him if he wishes to kiss the bride. Seeing a hanging ""love thy neighbor"" sampler, the father decides to bless the union and end the feud. The Canfields place their pistols on a table; Willie then divests himself of the many guns he took from their gun cabinet."
1923,The Pilgrim,American,Charles Chaplin,"Charles Chaplin, Edna Purviance",comedy,https://en.wikipedia.org/wiki/The_Pilgrim_(1923_film),"The Pilgrim (Chaplin), an escaped convict, steals a minister's clothes to replace his prison uniform. At a train station, he encounters an eloping couple who want him to marry them. The woman's father shows up and takes her away.
The convict then picks a destination at random and ends up in Devil's Gulch, Texas, on a Sunday. A delegation is waiting to welcome their new parson. With the sheriff nearby, the Pilgrim has to keep playing his part. A large deacon takes him to the church, where he improvises a sermon about David and Goliath.
It has been arranged for the parson to board with Mrs. Brown and her attractive daughter. The latter and the Pilgrim are attracted to each other. A complication arises when the crook, the Pilgrim's old cellmate, spots him. Curious, the man pretends to be the Pilgrim's old college friend and is invited to tea by Mrs. Brown. Among the other guests are a man and wife and their young boy, who proceeds to annoy everyone. Also present is the large deacon, who refuses to accept Mrs. Brown's mortgage payment on the Sabbath. Despite the Pilgrim's best efforts, the crook later steals the money and flees. The Pilgrim promises Miss Brown he will get the money back. After he leaves, however, the sheriff shows the young woman a wanted poster for her boarder.
The crook heads to a casino. Despite a robbery in progress, the Pilgrim manages to retrieve the money. He gives it and the church collection to Miss Brown. When he is apprehended by the sheriff, Miss Brown comes to his defense, revealing what he has done. As a result, the sheriff takes his prisoner to the border and orders him to pick him some flowers on Mexican land. Not taking the hint, the Pilgrim returns. The sheriff has to literally kick him out of American jurisdiction before he recognizes the lawman's act of kindness. However, his enjoyment of the peace of a new land proves to be short-lived; several gunmen pop out of the undergrowth and start shooting at each other. The frightened Pilgrim hastens away, straddling the border as he ponders his options."
1923,Safety Last!,American,"Fred C. Newmeyer, Sam Taylor",Harold Lloyd,comedy,https://en.wikipedia.org/wiki/Safety_Last!,"The film opens in 1922 with Harold Lloyd (the character has the same name as the actor) behind bars. His mother and his girlfriend, Mildred, are consoling him as a somber official and priest show up. The three of them walk toward what looks like a noose. It then becomes obvious they are at a train station and the ""noose"" is actually a trackside pickup hoop used by train crews to receive orders without stopping, and the bars are merely the ticket barrier. He promises to send for his girlfriend so they can get married once he has ""made good"" in the big city. Then he is off.
He gets a job as a salesclerk at the De Vore Department Store, where he has to pull various stunts to get out of trouble with the picky and arrogantly self-important head floorwalker, Mr. Stubbs. He shares a rented room with his pal ""Limpy"" Bill, a construction worker.
When Harold finishes his shift, he sees an old friend from his hometown who is now a policeman walking the beat. After he leaves, Bill shows up. Bragging to Bill about his supposed influence with the police department, he persuades Bill to knock the policeman backwards over him while the man is using a callbox. When Bill does so, he knocks over the wrong policeman. To escape, he climbs up the façade of a building. The policeman tries to follow, but cannot get past the first floor; in frustration, he shouts at Bill, ""You'll do time for this! The first time I lay eyes on you again, I'll pinch you!""
Meanwhile, Harold has been hiding his lack of success by sending his girlfriend expensive presents he cannot really afford. She mistakenly thinks he is successful enough to support a family and, with his mother's encouragement, takes a train to join him. In his embarrassment, he has to pretend to be the general manager, even succeeding in impersonating him to get back at Stubbs. While going to retrieve her purse (which Mildred left in the manager's office), he overhears the real general manager say he would give $1,000 to anyone who could attract people to the store. He remembers Bill's talent and pitches the idea of having a man climb the ""12-story Bolton building"", which De Vore's occupies. He gets Bill to agree to do it by offering him $500. The stunt is highly publicized and a large crowd gathers the next day.
When a drunkard shows ""The Law"" (the policeman who was pushed over) a newspaper story about the event, the lawman suspects Bill is going to be the climber. He waits at the starting point despite Harold's frantic efforts to get him to leave. Finally, unable to wait any longer, Bill suggests Harold climb the first story himself and then switch his hat and coat with Bill, who will continue on from there. After Harold starts up, the policeman spots Bill and chases him into the building. Every time Harold tries to switch places with Bill, the policeman appears and chases Bill away. Each time, Bill tells his friend he will meet him on the next floor up. Eventually, Harold reaches the top, despite his troubles with a clock and some hungry pigeons, and kisses his girl."
1923,Scaramouche,American,Rex Ingram,"Ramón Novarro, Alice Terry, Lewis Stone",adventure,https://en.wikipedia.org/wiki/Scaramouche_(1923_film),"André-Louis Moreau (Ramon Novarro) loves Aline de Kercadiou (Alice Terry), the niece of his godfather, Quintin de Kercadiou (Lloyd Ingraham), and she him. However Quintin would prefer she married the Marquis de la Tour d'Azyr (Lewis Stone), a middle-aged nobleman, rather than someone who does not even know who his parents are.
One day, expert swordsman de la Tour first toys with, then kills André's friend Philippe de Vilmorin in a duel. André turns to the King's Lieutenant for justice. However, when the official learns who the accused is, he immediately orders André's arrest. André flees.
Meanwhile, France nears the brink of revolution. When one orator in favor of liberty and equality is shot down by a soldier, André fearlessly takes his place and remains undaunted when he is grazed by a bullet. When the dragoons are called out to disperse the mob, an admirer named Chapelier helps André escape.
He joins a wandering theatre troupe led by Challefau Binet (James A. Marcus). André writes better plays for them to perform, and they become very successful, eventually performing at a theatre in Paris. André becomes engaged to Binet's daughter, Climène (Edith Allen).
Aline and de la Tour attend a performance of his latest work, however, and she and André spot each other. She goes to see him, but he does not wish to renew their relationship. De la Tour, despite loving Aline, cannot help trifling with Climène. By chance, Aline and Countess de Plougastel (Julia Swayne Gordon), with whom she is staying, see him in a carriage with Climène. Aline informs de la Tour she never wants to see him again. De la Tour blackmails the countess into helping him, reminding her of an incident in her past.
Meanwhile, in the National Assembly, the aristocrats, unable to effectively respond to the reform-minded delegates with words, resort to duels to eliminate their leading opponents. Chief among the duelists is de la Tour. In desperation, Danton and Chapelier recruit André to reply in kind. The Chevalier de Chabrillone (William Humphrey) is his first victim. Eventually, he gets what he wants: a duel with de la Tour. He disarms his foe, then allows him to pick up his sword. After André wounds the nobleman in his sword arm, de la Tour gives up.
When news reaches Paris that the Austrians and Prussians have invaded France in support of the beleaguered King Louis XVI, the French Revolution erupts. In the fighting, de la Tour is overwhelmed and left for dead. When he revives, he staggers to the residence of the countess. André heads there too, to rescue his love and his mother the countess (whose identity has been revealed to him by de Kercadiou), armed with a passport signed by Danton authorizing him to do anything he wants. When the two bitter enemies spot each other, de la Tour demands the passport. André refuses, whereupon de la Tour draws a pistol. The countess throws herself in front of de la Tour, then reveals that he is in fact André's father. The two men have an initially uneasy reconciliation. When de la Tour starts to leave, André offers him his sword. Thus armed, de la Tour faces the rioters in the street and perishes.
André places the two women in a covered carriage. At the Paris gate, a man spots the aristocrats inside and demands they be handed over to the mob. Moreau pleads with them to let them go for his sake. The masses respond with extravagant sentimentality, and the trio are allowed to leave Paris."
1923,The Shock,American,Lambert Hillyer,"Lon Chaney, Virginia Valli",drama,https://en.wikipedia.org/wiki/The_Shock_(1923_film),"In 1906, Wilse Dilling (Lon Chaney), a crippled gangster living like a brute in the savage streets of Chinatown, receives a coded message to go to the home of his boss, Ann Cardington (Christine Mayo), known as Queen Anne, a powerful crime boss feared in the underworld. When Wilse meets with her, she sends him to the town of Fallbrook, where he is to await her instructions in dealing with a former lover of hers, a banker named Micha Hadley (William Welsh), who had betrayed her. Dilling is to pose as a telegraph operator in his effort to watch the banker.
Being practically dependent on crutches and wheelchair-bound has not stopped Dilling from committing a lengthy series of crimes, but to his surprise, he finds that the small town atmosphere makes him feel differently about everything. He finds a good friend in Hadley's daughter Gertrude (Virginia Valli), whom Dilling not only falls in love with her but she helps him believe that he can make a fresh start. Gertrude, however, is engaged to Jack Cooper (Jack Mower).
Dilling's new-found contentment is soon shattered by a series of new developments which includes trying to stop Queen Ann's plot against Hadley and Gertrude. Threatened with exposure as a thief, Hadley lashes out at Dilling when he confesses his part in the scheme. When an attempt to blow up the bank goes badly, Gertrude and Cooper are caught in the blast. With Gertrude severely injured, Cooper's father forces him to break off their engagement.
With the bank records destroyed, bank examiners are unable to find evidence against Hadley. After surgery, his daughter is expected to make a complete recovery but Queen Anne still seeks his revenge. Dilling tries to recover a document that his boss is holding, but with her henchmen, she captures Gerturde to Dilling's despair. Before anything can happen, everyone in the Manadarin Cafe, the gangsters' headquarters, as well as the entire city, is caught up in the San Francisco earthquake. Dilling survives and later in recuperation, is able to recover the use of his legs, beginning a new life with Gertrude."
1923,The Shriek of Araby,American,F. Richard Jones,Ben Turpin,comedy,https://en.wikipedia.org/wiki/The_Shriek_of_Araby,The film is a spoof of Rudolph Valentino’s hit 1921 film The Sheik and features Turpin as a bill poster daydreaming about having various adventures as an Arabian sheik.[3]
1923,The Silent Command,American,J. Gordon Edwards,"Edmund Lowe, Béla Lugosi",drama,https://en.wikipedia.org/wiki/The_Silent_Command,"Benadict Hisston is a foreign agent, part of a conspiracy to destroy the Panama Canal and the United States Navy's Atlantic Fleet. He attempts to acquire information about mine placement in the Canal Zone from Captain Richard Decatur, but fails. With that information essential to the conspiracy's success, he then hires vamp Peg Williams to obtain the intelligence through seduction.
Decatur is not fooled, and obeys the ""silent command"" of the Chief of Naval Intelligence to play along with the spies without revealing his purpose to friends or family. He is court-martialed, stripped of rank, and dismissed from the Navy after he strikes an admiral. His association with Williams estranges him from his wife, but earns him the trust of Hisston and the other spies. When the conspirators are ready to enact their plan, he travels to Panama with them. He thwarts their attempt at sabotage, saving the canal and the fleet. He is reinstated into the Navy, reunited with his wife, and honored by the nation for his heroism.[1][2]"
